# x 	 y 	 dy 	 m
0.3	0.070219	0.0013	0.01
0.32	0.058279674178947374	0.0011354033965959103	0.01
0.34	0.04459159645000001	0.0009924131878609225	0.01
0.36	0.03695588815662651	0.0011423050901163937	0.01
0.38	0.0331106621440678	0.001253763923371123	0.01
0.4	0.024289443607843145	0.0006269674783672693	0.01
0.42	0.022929220846938776	0.0010349736423504292	0.01
0.3	0.12698	0.0024	0.02
0.32	0.10353338665306122	0.0018938712315165244	0.02
0.34	0.08667886477173913	0.0017232387624891547	0.02
0.36	0.07048746475949366	0.0016002941953121809	0.02
0.38	0.061444346569999995	0.00150186813812563	0.02
0.4	0.051405025602040806	0.0017153653802553476	0.02
0.42	0.04444815125490195	0.0014278958096135667	0.02
0.3	0.16792	0.0024	0.03
0.32	0.13922867438947367	0.0018492242850264614	0.03
0.34	0.12077888532222221	0.0021319536847963245	0.03
0.36	0.09812519945205479	0.001901141140189629	0.03
0.38	0.08959280786458335	0.0016403316344455795	0.03
0.4	0.07518136255999999	0.0018325611699423654	0.03
0.42	0.0665218932244898	0.002022601993840621	0.03
0.32	0.17068186796116505	0.001671882713486809	0.04
0.34	0.14752531150515463	0.001955582496492665	0.04
0.36	0.12594877640983607	0.002743766171618315	0.04
0.38	0.1125858359	0.0033591393057377985	0.04
0.4	0.09454450835999997	0.0015628507072799286	0.04
0.42	0.0897432026923077	0.001859636160179685	0.04
0.32	0.1871592712871287	0.0018514965723604546	0.05
0.34	0.17101423673469385	0.0019196378993628195	0.05
0.36	0.14861634310000002	0.00286878840791701	0.05
0.38	0.12869544664423077	0.002010320807708218	0.05
0.4	0.11562916952	0.001872124290578746	0.05
0.42	0.10432111116666666	0.002371592197305127	0.05
